StrongsNumber,GreekWord,Definition
G372,anapausis/an-ap'-ow-sis,"from 373; intermission; by implication, recreation:--rest. see G373"
G373,anapano/an-ap-ow'-o,"from 303 and 3973; (reflexively) to repose (literally or figuratively (be exempt), remain); by implication, to refresh:--take ease, refresh, (give, take) rest. see G303 see G3973"
G374,anapeitho/an-ap-i'-tho,from 303 and 3982; to incite:--persuade. see G303 see G3982
G375,anapempo/an-ap-em'-po,from 303 and 3992; to send up or back:--send (again). see G303 see G3992
G376,anaperos/an-ap'-ay-ros,from 303 (in the sense of intensity) and peros (maimed); crippled:-- maimed. see G303
G377,anapipto/an-ap-ip'-to,"from 303 and 4098; to fall back, i.e. lie down, lean back:--lean, sit down (to meat). see G303 see G4098"
G378,anapleroo/an-ap-lay-ro'-o,"from 303 and 4137; to complete; by implication, to occupy, supply; figuratively, to accomplish (by coincidence ot obedience):--fill up, fulfill, occupy, supply. see G303 see G4137"
G379,anapologetos/an-ap-ol-og'-ay-tos,"from 1 (as a negative particle) and a presumed derivative of 626; indefensible:--without an excuse, inexcusable. see G1 see G626"
G380,anaptusso/an-ap-toos'-o,from 303 (in the sense of reversal) and 4428; to unroll (a scroll or volume):--open. see G303 see G4428
G381,anapto/an-ap'-to,"from 303 and 681; to enkindle:--kindle, light. see G303 see G681"
G393,anatello/an-at-el'-lo,"from 303 and the base of 5056; to (cause to) arise:--(a-, make to) rise, at the rising of, spring (up), be up. see G303 see G5056"
G394,anatithemai/an-at-ith'-em-ahee,"from 303 and the middle voice of 5087; to set forth (for oneself), i.e propound:--communicate, declare. see G303 see G5087"
G395,anatole/an-at-ol-ay',"from 393; a rising of light, i.e. dawn (figuratively); by implication, the east (also in plural):--dayspring, east, rising. see G393"
G396,anatrepo/an-at-rep'-o,"from 303 and the base of 5157; to overturn (figuratively):--overthrow, subvert. see G303 see G5157"
G397,anatrepho/an-at-ref'-o,"from 303 and 5142; to rear (physically or mentally):--bring up, nourish (up). see G303 see G5142"
G398,anaphaino/an-af-ah'-ee-no,"from 303 and 5316; to show, i.e. (reflexively) appear, or (passively) to have pointed out:--(should) appear, discover. see G303 see G5316"
G399,anaphero/an-af-er'-o,"from 303 and 5342; to take up (literally or figuratively):--bear, bring (carry, lead) up, offer (up). see G303 see G5342"
G400,anaphoneo/an-af-o-neh'-o,from 303 and 5455; to exclaim:--speak out. see G303 see G5455
G401,anachusis/an-akh'-oo-sis,"from a comparative of 303 and cheo (to pour); properly, effusion, i.e. (figuratively) license:--excess. see G303"
G402,anachoreo/an-akh-o-reh'-o,"from 303 and 5562; to retire:--depart, give place, go (turn) aside, withdraw self. see G303 see G5562"
G403,anapsuxis/an-aps'-ook-sis,"from 404; properly, a recovery of breath, i.e. (figuratively) revival:--revival. see G404"
G404,anapsucho/an-aps-oo'-kho,"from 303 and 5594; properly, to cool off, i.e. (figuratively) relieve:--refresh. see G303 see G5594"
G405,andrapodistes/an-drap-od-is-tace',"from a derivative of a compound of 435 and 4228; an 1735; unadmitted, i.e. (by implication) not supposable:--impossible. see G1 see G1735"
G419,anexereunetos/an-ex-er-yoo'-nay-tos,"from 1 (as a negative particle) and a presumed derivative of 1830; not searched out, i.e. (by implication) inscrutable:--unsearchable. see G1 see G1830"
G420,anexikakos/an-ex-ik'-ak-os,"from 430 and 2556; enduring of ill, i.e. forbearing:--patient. see G430 see G2556"
G421,anexichniastos/an-ex-ikh-nee'-as-tos,"from 1 (as a negative particle) and a presumed derivative of a compound of 1537 and a derivative of 2487; not tracked out, i.e. (by implication) untraceable:--past finding out; unsearchable. see G1 see G1537 see G2487"
G422,anepaischuntos/an-ep-ah'-ee-skhoon- tos,"from 1 (as a negative particle) and a presumed derivative of a compound of 1909 and 153; not ashamed, i.e. irreprehensible: --that needeth not to be ashamed. see G1 see G1909 see G153"
G423,anepileptos/an-ep-eel'-ape-tos,"from 1 (as a negative particle) and a derivative of 1949; not arrested, i.e. (by implication) inculpable:-- blameless, unrebukeable. see G1 see G1949"
G424,anerchomai/an-erkh'-om-ahee,from 303 and 2064; to ascend:--go up. see G303 see G2064
G425,anesis/an'-es-is,"from 447; relaxation or (figuratively) relief:--eased, liberty, rest. see G447"
